mag prob
-23.50 0.000
-23.45 0.000
-23.40 0.000
-23.35 0.000
-23.30 0.000
-23.25 0.000
-23.20 0.000
-23.15 0.080
-23.10 0.080
-23.05 0.080
-23.00 0.080
-22.95 0.080
-22.90 0.080
-22.85 0.080
-22.80 0.080
-22.75 0.080
-22.70 0.080
-22.65 0.080
-22.60 0.518
-22.55 0.518
-22.50 0.518
-22.45 0.518
-22.40 0.518
-22.35 0.518
-22.30 0.518
-22.25 0.518
-22.20 0.518
-22.15 0.518
-22.10 0.518
-22.05 0.518
-22.00 0.199
-21.95 0.199
-21.90 0.199
-21.85 0.199
-21.80 0.199
-21.75 0.199
-21.70 0.199
-21.65 0.199
-21.60 0.199
-21.55 0.199
-21.50 0.199
-21.45 0.478
-21.40 0.478
-21.35 0.478
-21.30 0.478
-21.25 0.478
-21.20 0.478
-21.15 0.478
-21.10 0.478
-21.05 0.478
-21.00 0.478
-20.95 0.478
-20.90 0.239
-20.85 0.239
-20.80 0.239
-20.75 0.239
-20.70 0.239
-20.65 0.239
-20.60 0.239
-20.55 0.239
-20.50 0.239
-20.45 0.239
-20.40 0.239
-20.35 0.279
-20.30 0.279
-20.25 0.279
-20.20 0.279
-20.15 0.279
-20.10 0.279
-20.05 0.279
-20.00 0.279
-19.95 0.279
-19.90 0.279
-19.85 0.279
-19.80 0.000
-19.75 0.000
-19.70 0.000
-19.65 0.000
-19.60 0.000
-19.55 0.000
