name,RA,DEC,redshift,E(B-V),peakband,convertband,tpeak,tpeak_unc_low,tpeak_unc_up,gpeak,gpeak_unc,rpeak,rpeak_unc,gpeak_abs,gpeak_abs_unc,mag_convert,mag_convert_unc
ZTF18aaisyyp,13:11:27.72,+65:38:16.7,0.1320,0.0108,g,g,2458257.7400,4.6466,5.2562,18.6215,0.0409,18.5739,0.0402,-20.3465,0.0409,18.6215,0.0409
ZTF18aajqcue,13:55:08.65,+58:29:42.0,0.0735,0.0090,g,g,2458280.4500,4.6949,5.4681,19.2906,0.0281,18.5480,0.0199,-20.2289,0.0281,19.2906,0.0281
ZTF18aapgrxo,18:43:13.42,+45:12:28.2,0.2744,0.0510,g,r,2458278.4900,4.6296,3.8606,18.3563,0.0229,18.4901,0.0217,-22.0342,0.0207,18.4929,0.0207
ZTF18aavrmcg,11:02:30.29,+55:35:55.8,0.0795,0.0071,g,g,2458254.1000,2.6308,3.3534,17.0500,0.0981,17.2837,0.0393,-20.6244,0.0981,17.0500,0.0981
ZTF18aazgrfl,12:44:02.32,+56:01:44.5,0.4340,0.0078,g,r,2458324.2400,8.0404,15.4114,19.1440,0.0496,19.2490,0.0964,-22.2047,0.0720,19.3174,0.0720
ZTF18abjwagv,15:55:38.02,+28:21:38.0,0.3450,0.0387,r,r,2458355.9100,9.5242,3.0929,18.7192,0.0045,18.8828,0.0446,-22.1155,0.0446,18.8828,0.0446
ZTF18ablwafp,20:54:37.15,+22:04:51.8,0.1420,0.0980,g,g,2458369.3900,5.8406,5.6042,18.0523,0.0557,18.0819,0.0277,-21.2068,0.0557,18.0523,0.0557
ZTF18abmasep,21:09:36.78,+33:28:59.6,0.1010,0.1447,g,g,2458356.1400,4.0872,4.6866,17.8383,0.0996,18.0045,0.0312,-20.3752,0.0996,17.8383,0.0996
ZTF18abrzcbp,07:39:32.76,+27:44:02.7,0.3200,0.0377,g,r,2458364.0000,0.0000,2.3864,18.9715,0.0665,19.0493,0.0852,-21.7482,0.0704,19.0737,0.0704
ZTF18abshezu,23:57:17.95,-15:37:53.3,0.2300,0.0254,g,r,2458428.3300,22.1707,7.0081,17.7699,0.0472,17.9147,0.0454,-22.1472,0.0468,17.9463,0.0468
ZTF18abszecm,22:29:27.24,+13:10:39.8,0.4400,0.0535,g,r,2458434.0900,9.8819,15.9722,19.4430,0.0568,19.4318,0.0460,-22.0706,0.0375,19.4362,0.0375
ZTF18abvgjyl,07:58:11.54,+19:31:07.9,0.2405,0.0368,g,r,2458370.0000,0.0000,2.0879,18.3000,0.0659,18.3684,0.0224,-21.8314,0.0355,18.3689,0.0355
