  SNType      Model   Zstart   Zend    Rate   Iteration   RawLCs   FilteredLCs  
    SLSN   Magnetar     0.07   0.40   10.00           1     7553          2902  
    SLSN   Magnetar     0.07   0.40   10.00           3     7683          2952  
    SLSN   Magnetar     0.07   0.40   10.00           5     7640          2892  
    SLSN   Magnetar     0.07   0.40   10.00           7     7691          3002  
    SLSN   Magnetar     0.07   0.40   10.00           9     7652          2974  
    SLSN   Magnetar     0.07   0.40   10.00          11     7590          2990  
    SLSN   Magnetar     0.07   0.40   10.00          13     7668          2933  
    SLSN   Magnetar     0.07   0.40   10.00           0     7574          2859  
    SLSN   Magnetar     0.07   0.40   10.00           2     7628          2944  
    SLSN   Magnetar     0.07   0.40   10.00           4     7533          2934  
    SLSN   Magnetar     0.07   0.40   10.00           6     7581          3000  
    SLSN   Magnetar     0.07   0.40   10.00           8     7656          2960  
    SLSN   Magnetar     0.07   0.40   10.00          10     7679          3013  
    SLSN   Magnetar     0.07   0.40   10.00          12     7718          2951  
    SLSN   Magnetar     0.07   0.40   10.00          14     7550          2900  
